size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
middle,rnn,gpn,Heart_Left_Ventricle,1030,yes,0.577,0.667,0.706,0.686
large,mlp,gpn,Heart_Left_Ventricle,1030,yes,0.614,0.614,1.0,0.761
large,cnn,gpn,Heart_Left_Ventricle,1030,yes,0.568,0.786,0.407,0.537
large,rnn,gpn,Heart_Left_Ventricle,1030,yes,0.591,0.68,0.63,0.654
small,mlp,gpn,Nerve_Tibial,17,yes,0.543,0.543,1.0,0.704
small,cnn,gpn,Nerve_Tibial,17,yes,0.587,0.571,0.96,0.716
small,rnn,gpn,Nerve_Tibial,17,yes,0.565,0.571,0.8,0.667
middle,mlp,gpn,Nerve_Tibial,17,yes,0.559,0.559,1.0,0.717
middle,cnn,gpn,Nerve_Tibial,17,yes,0.515,0.556,0.658,0.602
middle,rnn,gpn,Nerve_Tibial,17,yes,0.456,0.51,0.658,0.575
large,mlp,gpn,Nerve_Tibial,17,yes,0.487,0.54,0.435,0.482
large,cnn,gpn,Nerve_Tibial,17,yes,0.442,0.488,0.339,0.4
large,rnn,gpn,Nerve_Tibial,17,yes,0.487,1.0,0.065,0.121
small,mlp,gpn,Nerve_Tibial,510,yes,0.543,0.543,1.0,0.704
small,cnn,gpn,Nerve_Tibial,510,yes,0.565,0.564,0.88,0.688
small,rnn,gpn,Nerve_Tibial,510,yes,0.543,0.545,0.96,0.696
middle,mlp,gpn,Nerve_Tibial,510,yes,0.544,0.544,1.0,0.705
middle,cnn,gpn,Nerve_Tibial,510,yes,0.471,0.511,0.622,0.561
middle,rnn,gpn,Nerve_Tibial,510,yes,0.5,0.525,0.865,0.653
large,mlp,gpn,Nerve_Tibial,510,yes,0.487,0.487,1.0,0.655
large,cnn,gpn,Nerve_Tibial,510,yes,0.487,0.487,1.0,0.655
large,rnn,gpn,Nerve_Tibial,510,yes,0.487,0.487,1.0,0.655
small,mlp,gpn,Nerve_Tibial,1030,yes,0.522,0.522,1.0,0.686
small,cnn,gpn,Nerve_Tibial,1030,yes,0.435,0.469,0.625,0.536
small,rnn,gpn,Nerve_Tibial,1030,yes,0.413,0.421,0.333,0.372
middle,mlp,gpn,Nerve_Tibial,1030,yes,0.426,0.407,0.324,0.361
middle,cnn,gpn,Nerve_Tibial,1030,yes,0.5,0.0,0.0,0.0
middle,rnn,gpn,Nerve_Tibial,1030,yes,0.515,0.538,0.206,0.298
large,mlp,gpn,Nerve_Tibial,1030,yes,0.442,0.442,1.0,0.613
large,cnn,gpn,Nerve_Tibial,1030,yes,0.531,0.484,0.88,0.624
large,rnn,gpn,Nerve_Tibial,1030,yes,0.496,0.462,0.86,0.601
