size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
large,rnn,onehot,Esophagus_Mucosa,1030,yes,0.531,0.625,0.125,0.208
small,mlp,onehot,Heart_Left_Ventricle,17,yes,0.56,0.56,1,0.718
small,cnn,onehot,Heart_Left_Ventricle,17,yes,0.56,0.56,1,0.718
small,rnn,onehot,Heart_Left_Ventricle,17,yes,0.4,0.455,0.357,0.4
middle,mlp,onehot,Heart_Left_Ventricle,17,yes,0.462,0.462,1,0.632
middle,cnn,onehot,Heart_Left_Ventricle,17,yes,0.577,0.529,0.75,0.621
middle,rnn,onehot,Heart_Left_Ventricle,17,yes,0.692,0.75,0.5,0.6
large,mlp,onehot,Heart_Left_Ventricle,17,yes,0.5,0.5,1,0.667
large,cnn,onehot,Heart_Left_Ventricle,17,yes,0.523,0.533,0.364,0.432
large,rnn,onehot,Heart_Left_Ventricle,17,yes,0.5,0.5,0.273,0.353
small,mlp,onehot,Heart_Left_Ventricle,510,yes,0.6,0.6,1,0.75
small,cnn,onehot,Heart_Left_Ventricle,510,yes,0.36,0.455,0.333,0.385
small,rnn,onehot,Heart_Left_Ventricle,510,yes,0.68,0.733,0.733,0.733
middle,mlp,onehot,Heart_Left_Ventricle,510,yes,0.423,0,0,0
middle,cnn,onehot,Heart_Left_Ventricle,510,yes,0.538,0.8,0.267,0.4
middle,rnn,onehot,Heart_Left_Ventricle,510,yes,0.462,0.667,0.133,0.222
large,mlp,onehot,Heart_Left_Ventricle,510,yes,0.5,0.5,1,0.667
large,cnn,onehot,Heart_Left_Ventricle,510,yes,0.477,0.486,0.818,0.61
large,rnn,onehot,Heart_Left_Ventricle,510,yes,0.545,0.525,0.955,0.677
small,mlp,onehot,Heart_Left_Ventricle,1030,yes,0.8,0.8,1,0.889
small,cnn,onehot,Heart_Left_Ventricle,1030,yes,0.56,0.846,0.55,0.667
small,rnn,onehot,Heart_Left_Ventricle,1030,yes,0.64,0.867,0.65,0.743
middle,mlp,onehot,Heart_Left_Ventricle,1030,yes,0.346,0,0,0
middle,cnn,onehot,Heart_Left_Ventricle,1030,yes,0.654,0.654,1,0.791
middle,rnn,onehot,Heart_Left_Ventricle,1030,yes,0.577,0.667,0.706,0.686
large,mlp,onehot,Heart_Left_Ventricle,1030,yes,0.614,0.614,1,0.761
large,cnn,onehot,Heart_Left_Ventricle,1030,yes,0.568,0.786,0.407,0.537
large,rnn,onehot,Heart_Left_Ventricle,1030,yes,0.591,0.68,0.63,0.654
small,mlp,onehot,Nerve_Tibial,17,yes,0.543,0.543,1,0.704
small,cnn,onehot,Nerve_Tibial,17,yes,0.587,0.571,0.96,0.716
small,rnn,onehot,Nerve_Tibial,17,yes,0.565,0.571,0.8,0.667
middle,mlp,onehot,Nerve_Tibial,17,yes,0.559,0.559,1,0.717
middle,cnn,onehot,Nerve_Tibial,17,yes,0.515,0.556,0.658,0.602
middle,rnn,onehot,Nerve_Tibial,17,yes,0.456,0.51,0.658,0.575
large,mlp,onehot,Nerve_Tibial,17,yes,0.487,0.54,0.435,0.482
large,cnn,onehot,Nerve_Tibial,17,yes,0.442,0.488,0.339,0.4
large,rnn,onehot,Nerve_Tibial,17,yes,0.487,1,0.065,0.121
small,mlp,onehot,Nerve_Tibial,510,yes,0.543,0.543,1,0.704
small,cnn,onehot,Nerve_Tibial,510,yes,0.565,0.564,0.88,0.688
small,rnn,onehot,Nerve_Tibial,510,yes,0.543,0.545,0.96,0.696
middle,mlp,onehot,Nerve_Tibial,510,yes,0.544,0.544,1,0.705
middle,cnn,onehot,Nerve_Tibial,510,yes,0.471,0.511,0.622,0.561
middle,rnn,onehot,Nerve_Tibial,510,yes,0.5,0.525,0.865,0.653
large,mlp,onehot,Nerve_Tibial,510,yes,0.487,0.487,1,0.655
large,cnn,onehot,Nerve_Tibial,510,yes,0.487,0.487,1,0.655
large,rnn,onehot,Nerve_Tibial,510,yes,0.487,0.487,1,0.655
small,mlp,onehot,Nerve_Tibial,1030,yes,0.522,0.522,1,0.686
small,cnn,onehot,Nerve_Tibial,1030,yes,0.435,0.469,0.625,0.536
small,rnn,onehot,Nerve_Tibial,1030,yes,0.413,0.421,0.333,0.372
middle,mlp,onehot,Nerve_Tibial,1030,yes,0.426,0.407,0.324,0.361
middle,cnn,onehot,Nerve_Tibial,1030,yes,0.5,0,0,0
middle,rnn,onehot,Nerve_Tibial,1030,yes,0.515,0.538,0.206,0.298
large,mlp,onehot,Nerve_Tibial,1030,yes,0.442,0.442,1,0.613
large,cnn,onehot,Nerve_Tibial,1030,yes,0.531,0.484,0.88,0.624
large,rnn,onehot,Nerve_Tibial,1030,yes,0.496,0.462,0.86,0.601
