size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
middle,knn,dnabert2,Heart_Left_Ventricle,510,no,0.38,0.0,0.0,0.0
middle,svm,dnabert2,Heart_Left_Ventricle,510,no,0.42,0.0,0.0,0.0
large,xgboost,dnabert2,Heart_Left_Ventricle,510,no,0.63,0.65,0.76,0.7
large,lightgbm,dnabert2,Heart_Left_Ventricle,510,no,0.52,0.59,0.52,0.55
large,random forest,dnabert2,Heart_Left_Ventricle,510,no,0.59,0.64,0.64,0.64
large,knn,dnabert2,Heart_Left_Ventricle,510,no,0.56,0.56,1.0,0.72
large,svm,dnabert2,Heart_Left_Ventricle,510,no,0.56,0.56,1.0,0.72
small,xgboost,dnabert2,Heart_Left_Ventricle,1030,no,0.4,0.72,0.4,0.51
small,lightgbm,dnabert2,Heart_Left_Ventricle,1030,no,0.52,0.75,0.6,0.66
small,random forest,dnabert2,Heart_Left_Ventricle,1030,no,0.56,0.76,0.65,0.7
small,knn,dnabert2,Heart_Left_Ventricle,1030,no,0.8,0.8,1.0,0.88
small,svm,dnabert2,Heart_Left_Ventricle,1030,no,0.8,0.8,1.0,0.88
middle,xgboost,dnabert2,Heart_Left_Ventricle,1030,no,0.57,0.61,0.57,0.59
middle,lightgbm,dnabert2,Heart_Left_Ventricle,1030,no,0.57,0.6,0.64,0.62
middle,random forest,dnabert2,Heart_Left_Ventricle,1030,no,0.53,0.58,0.5,0.53
middle,knn,dnabert2,Heart_Left_Ventricle,1030,no,0.42,0.0,0.0,0.0
middle,svm,dnabert2,Heart_Left_Ventricle,1030,no,0.57,0.6,0.64,0.62
large,xgboost,dnabert2,Heart_Left_Ventricle,1030,no,0.54,0.58,0.68,0.62
large,lightgbm,dnabert2,Heart_Left_Ventricle,1030,no,0.63,0.65,0.76,0.7
large,random forest,dnabert2,Heart_Left_Ventricle,1030,no,0.47,0.53,0.6,0.56
large,knn,dnabert2,Heart_Left_Ventricle,1030,no,0.56,0.56,1.0,0.72
large,svm,dnabert2,Heart_Left_Ventricle,1030,no,0.56,0.56,1.0,0.72
small,xgboost,dnabert2,Nerve_Tibial,17,no,0.56,0.6,0.6,0.6
small,lightgbm,dnabert2,Nerve_Tibial,17,no,0.56,0.6,0.6,0.6
small,random forest,dnabert2,Nerve_Tibial,17,no,0.6,0.66,0.56,0.6
small,knn,dnabert2,Nerve_Tibial,17,no,0.47,0.51,0.88,0.64
small,svm,dnabert2,Nerve_Tibial,17,no,0.6,0.58,1.0,0.73
middle,xgboost,dnabert2,Nerve_Tibial,17,no,0.55,0.63,0.6,0.61
middle,lightgbm,dnabert2,Nerve_Tibial,17,no,0.52,0.61,0.55,0.57
middle,random forest,dnabert2,Nerve_Tibial,17,no,0.47,0.55,0.52,0.53
middle,knn,dnabert2,Nerve_Tibial,17,no,0.5,0.58,0.5,0.54
middle,svm,dnabert2,Nerve_Tibial,17,no,0.64,0.62,0.97,0.76
large,xgboost,dnabert2,Nerve_Tibial,17,no,0.58,0.55,0.72,0.62
large,lightgbm,dnabert2,Nerve_Tibial,17,no,0.59,0.56,0.72,0.63
large,random forest,dnabert2,Nerve_Tibial,17,no,0.63,0.61,0.69,0.64
large,knn,dnabert2,Nerve_Tibial,17,no,0.49,0.48,0.52,0.5
large,svm,dnabert2,Nerve_Tibial,17,no,0.6,0.56,0.74,0.64
small,xgboost,dnabert2,Nerve_Tibial,510,no,0.63,0.64,0.72,0.67
small,lightgbm,dnabert2,Nerve_Tibial,510,no,0.56,0.59,0.64,0.61
small,random forest,dnabert2,Nerve_Tibial,510,no,0.54,0.57,0.6,0.58
small,knn,dnabert2,Nerve_Tibial,510,no,0.54,0.54,1.0,0.7
small,svm,dnabert2,Nerve_Tibial,510,no,0.54,0.54,1.0,0.7
middle,xgboost,dnabert2,Nerve_Tibial,510,no,0.64,0.75,0.6,0.66
middle,lightgbm,dnabert2,Nerve_Tibial,510,no,0.63,0.71,0.62,0.66
middle,random forest,dnabert2,Nerve_Tibial,510,no,0.63,0.69,0.67,0.68
middle,knn,dnabert2,Nerve_Tibial,510,no,0.54,0.59,0.7,0.64
middle,svm,dnabert2,Nerve_Tibial,510,no,0.58,0.58,1.0,0.74
large,xgboost,dnabert2,Nerve_Tibial,510,no,0.67,0.64,0.75,0.69
large,lightgbm,dnabert2,Nerve_Tibial,510,no,0.59,0.57,0.67,0.62
large,random forest,dnabert2,Nerve_Tibial,510,no,0.61,0.59,0.75,0.66
large,knn,dnabert2,Nerve_Tibial,510,no,0.46,0.46,0.5,0.48
large,svm,dnabert2,Nerve_Tibial,510,no,0.49,0.49,1.0,0.66
small,xgboost,dnabert2,Nerve_Tibial,1030,no,0.52,0.53,0.62,0.57
small,lightgbm,dnabert2,Nerve_Tibial,1030,no,0.56,0.57,0.62,0.6
small,random forest,dnabert2,Nerve_Tibial,1030,no,0.58,0.58,0.7,0.64
small,knn,dnabert2,Nerve_Tibial,1030,no,0.43,0.47,0.66,0.55
small,svm,dnabert2,Nerve_Tibial,1030,no,0.52,0.52,1.0,0.68
middle,xgboost,dnabert2,Nerve_Tibial,1030,no,0.7,0.72,0.68,0.7
middle,lightgbm,dnabert2,Nerve_Tibial,1030,no,0.55,0.58,0.62,0.6
middle,random forest,dnabert2,Nerve_Tibial,1030,no,0.61,0.63,0.7,0.66
middle,knn,dnabert2,Nerve_Tibial,1030,no,0.52,0.54,0.81,0.65
middle,svm,dnabert2,Nerve_Tibial,1030,no,0.54,0.54,1.0,0.7
large,xgboost,dnabert2,Nerve_Tibial,1030,no,0.65,0.69,0.66,0.67
large,lightgbm,dnabert2,Nerve_Tibial,1030,no,0.64,0.68,0.66,0.67
large,random forest,dnabert2,Nerve_Tibial,1030,no,0.61,0.66,0.61,0.63
large,knn,dnabert2,Nerve_Tibial,1030,no,0.52,0.56,0.56,0.56
large,svm,dnabert2,Nerve_Tibial,1030,no,0.61,0.63,0.69,0.66
