size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
middle,svm,gpn,Heart_Left_Ventricle,1030,no,0.79,-0.044,0.09
large,xgboost,gpn,Heart_Left_Ventricle,1030,no,0.765,-0.686,-0.087
large,lightgbm,gpn,Heart_Left_Ventricle,1030,no,0.786,-0.781,-0.129
large,random forest,gpn,Heart_Left_Ventricle,1030,no,0.744,-0.596,-0.036
large,knn,gpn,Heart_Left_Ventricle,1030,no,0.597,-0.026,0.317
large,svm,gpn,Heart_Left_Ventricle,1030,no,0.656,-0.239,-0.264
small,xgboost,gpn,Heart_Left_Ventricle,17,yes,1.027,-0.12,0.106
small,lightgbm,gpn,Heart_Left_Ventricle,17,yes,0.975,-0.009,0.173
small,random forest,gpn,Heart_Left_Ventricle,17,yes,0.79,-0.044,0.09
small,knn,gpn,Heart_Left_Ventricle,17,yes,0.974,-0.008,-0.068
small,svm,gpn,Heart_Left_Ventricle,17,yes,0.971,0,0.14
middle,xgboost,gpn,Heart_Left_Ventricle,17,yes,0.708,0.195,0.503
middle,lightgbm,gpn,Heart_Left_Ventricle,17,yes,0.741,0.118,0.466
middle,random forest,gpn,Heart_Left_Ventricle,17,yes,0.711,0.186,0.498
middle,knn,gpn,Heart_Left_Ventricle,17,yes,0.778,0.027,0.387
middle,svm,gpn,Heart_Left_Ventricle,17,yes,0.745,0.107,0.382
large,xgboost,gpn,Heart_Left_Ventricle,17,yes,0.663,0.043,0.327
large,lightgbm,gpn,Heart_Left_Ventricle,17,yes,0.642,0.102,0.427
large,random forest,gpn,Heart_Left_Ventricle,17,yes,0.595,0.229,0.482
large,knn,gpn,Heart_Left_Ventricle,17,yes,0.679,-0.004,0.026
large,svm,gpn,Heart_Left_Ventricle,17,yes,0.528,0.391,0.63
small,xgboost,gpn,Heart_Left_Ventricle,510,yes,0.932,-0.961,-0.322
small,lightgbm,gpn,Heart_Left_Ventricle,510,yes,0.767,-0.328,-0.085
small,random forest,gpn,Heart_Left_Ventricle,510,yes,0.765,-0.321,-0.267
small,knn,gpn,Heart_Left_Ventricle,510,yes,0.679,-0.043,0.027
small,svm,gpn,Heart_Left_Ventricle,510,yes,0.674,-0.028,-0.018
middle,xgboost,gpn,Heart_Left_Ventricle,510,yes,0.935,-0.385,0.293
middle,lightgbm,gpn,Heart_Left_Ventricle,510,yes,0.94,-0.4,0.18
middle,random forest,gpn,Heart_Left_Ventricle,510,yes,0.837,-0.111,0.327
middle,knn,gpn,Heart_Left_Ventricle,510,yes,0.925,-0.356,-0.288
middle,svm,gpn,Heart_Left_Ventricle,510,yes,0.86,-0.172,0.374
large,xgboost,gpn,Heart_Left_Ventricle,510,yes,0.717,0.194,0.507
large,lightgbm,gpn,Heart_Left_Ventricle,510,yes,0.778,0.051,0.384
large,random forest,gpn,Heart_Left_Ventricle,510,yes,0.732,0.161,0.419
large,knn,gpn,Heart_Left_Ventricle,510,yes,0.797,0.007,0.144
large,svm,gpn,Heart_Left_Ventricle,510,yes,0.718,0.193,0.445
small,xgboost,gpn,Heart_Left_Ventricle,1030,yes,0.966,-0.572,-0.04
small,lightgbm,gpn,Heart_Left_Ventricle,1030,yes,0.91,-0.394,0.061
small,random forest,gpn,Heart_Left_Ventricle,1030,yes,0.83,-0.162,0.225
small,knn,gpn,Heart_Left_Ventricle,1030,yes,0.854,-0.229,-0.093
small,svm,gpn,Heart_Left_Ventricle,1030,yes,0.816,-0.12,0.273
middle,xgboost,gpn,Heart_Left_Ventricle,1030,yes,0.687,-0.296,0.268
middle,lightgbm,gpn,Heart_Left_Ventricle,1030,yes,0.605,-0.005,0.391
middle,random forest,gpn,Heart_Left_Ventricle,1030,yes,0.548,0.176,0.439
middle,knn,gpn,Heart_Left_Ventricle,1030,yes,0.629,-0.086,0.198
middle,svm,gpn,Heart_Left_Ventricle,1030,yes,0.607,-0.012,0.243
large,xgboost,gpn,Heart_Left_Ventricle,1030,yes,0.815,-0.123,0.267
large,lightgbm,gpn,Heart_Left_Ventricle,1030,yes,0.83,-0.167,0.22
large,random forest,gpn,Heart_Left_Ventricle,1030,yes,0.749,0.06,0.305
large,knn,gpn,Heart_Left_Ventricle,1030,yes,0.802,-0.09,-0.214
large,svm,gpn,Heart_Left_Ventricle,1030,yes,0.823,-0.146,0.174
small,xgboost,gpn,Nerve_Tibial,17,no,0.825,-0.358,-0.06
small,lightgbm,gpn,Nerve_Tibial,17,no,0.842,-0.414,-0.185
small,random forest,gpn,Nerve_Tibial,17,no,0.746,-0.11,0.005
small,knn,gpn,Nerve_Tibial,17,no,0.718,-0.03,-0.108
small,svm,gpn,Nerve_Tibial,17,no,0.719,-0.031,0.018
middle,xgboost,gpn,Nerve_Tibial,17,no,0.934,-0.372,-0.123
middle,lightgbm,gpn,Nerve_Tibial,17,no,0.865,-0.177,-0.041
middle,random forest,gpn,Nerve_Tibial,17,no,0.807,-0.023,0.095
middle,knn,gpn,Nerve_Tibial,17,no,0.805,-0.019,0.028
middle,svm,gpn,Nerve_Tibial,17,no,0.806,-0.021,-0.247
large,xgboost,gpn,Nerve_Tibial,17,no,0.796,-0.271,-0.007
large,lightgbm,gpn,Nerve_Tibial,17,no,0.786,-0.237,-0.142
large,random forest,gpn,Nerve_Tibial,17,no,0.714,-0.022,0.087
large,knn,gpn,Nerve_Tibial,17,no,0.702,0.013,0.147
large,svm,gpn,Nerve_Tibial,17,no,0.736,-0.087,-0.096
small,xgboost,gpn,Nerve_Tibial,510,no,0.886,-0.568,-0.139
small,lightgbm,gpn,Nerve_Tibial,510,no,0.846,-0.43,-0.198
small,random forest,gpn,Nerve_Tibial,510,no,0.751,-0.124,-0.078
small,knn,gpn,Nerve_Tibial,510,no,0.718,-0.03,-0.108
small,svm,gpn,Nerve_Tibial,510,no,0.722,-0.04,-0.021
middle,xgboost,gpn,Nerve_Tibial,510,no,0.934,-0.372,-0.123
middle,lightgbm,gpn,Nerve_Tibial,510,no,0.865,-0.177,-0.041
middle,random forest,gpn,Nerve_Tibial,510,no,0.817,-0.048,0.021
middle,knn,gpn,Nerve_Tibial,510,no,0.805,-0.019,0.028
middle,svm,gpn,Nerve_Tibial,510,no,0.806,-0.021,-0.247
large,xgboost,gpn,Nerve_Tibial,510,no,0.802,-0.29,-0.085
large,lightgbm,gpn,Nerve_Tibial,510,no,0.802,-0.289,-0.156
large,random forest,gpn,Nerve_Tibial,510,no,0.724,-0.051,-0.007
large,knn,gpn,Nerve_Tibial,510,no,0.702,0.013,0.147
large,svm,gpn,Nerve_Tibial,510,no,0.736,-0.087,-0.096
small,xgboost,gpn,Nerve_Tibial,1030,no,0.846,-0.43,-0.071
small,lightgbm,gpn,Nerve_Tibial,1030,no,0.807,-0.299,-0.097
small,random forest,gpn,Nerve_Tibial,1030,no,0.741,-0.095,-0.006
small,knn,gpn,Nerve_Tibial,1030,no,0.718,-0.03,-0.108
small,svm,gpn,Nerve_Tibial,1030,no,0.722,-0.04,-0.021
middle,xgboost,gpn,Nerve_Tibial,1030,no,0.896,-0.261,-0.093
middle,lightgbm,gpn,Nerve_Tibial,1030,no,0.88,-0.218,-0.1
middle,random forest,gpn,Nerve_Tibial,1030,no,0.804,-0.015,0.109
middle,knn,gpn,Nerve_Tibial,1030,no,0.8,-0.006,0.11
middle,svm,gpn,Nerve_Tibial,1030,no,0.806,-0.021,-0.47
large,xgboost,gpn,Nerve_Tibial,1030,no,0.795,-0.266,-0.004
large,lightgbm,gpn,Nerve_Tibial,1030,no,0.786,-0.237,-0.142
large,random forest,gpn,Nerve_Tibial,1030,no,0.719,-0.036,0.032
large,knn,gpn,Nerve_Tibial,1030,no,0.702,0.013,0.147
large,svm,gpn,Nerve_Tibial,1030,no,0.736,-0.087,-0.096
small,xgboost,gpn,Nerve_Tibial,17,yes,0.84,0.012,0.328
small,lightgbm,gpn,Nerve_Tibial,17,yes,0.858,-0.03,0.212
small,random forest,gpn,Nerve_Tibial,17,yes,0.845,0,0.158
small,knn,gpn,Nerve_Tibial,17,yes,0.846,0,0.085
small,svm,gpn,Nerve_Tibial,17,yes,0.799,0.108,0.339
middle,xgboost,gpn,Nerve_Tibial,17,yes,0.691,0.036,0.406
middle,lightgbm,gpn,Nerve_Tibial,17,yes,0.635,0.185,0.503
middle,random forest,gpn,Nerve_Tibial,17,yes,0.614,0.24,0.562
middle,knn,gpn,Nerve_Tibial,17,yes,0.716,-0.037,0.073
middle,svm,gpn,Nerve_Tibial,17,yes,0.66,0.121,0.375
large,xgboost,gpn,Nerve_Tibial,17,yes,0.617,0.32,0.584
large,lightgbm,gpn,Nerve_Tibial,17,yes,0.568,0.424,0.656
large,random forest,gpn,Nerve_Tibial,17,yes,0.609,0.338,0.624
large,knn,gpn,Nerve_Tibial,17,yes,0.746,0.006,0.183
large,svm,gpn,Nerve_Tibial,17,yes,0.565,0.43,0.659
small,xgboost,gpn,Nerve_Tibial,510,yes,0.795,0.141,0.392
small,lightgbm,gpn,Nerve_Tibial,510,yes,0.79,0.152,0.39
small,random forest,gpn,Nerve_Tibial,510,yes,0.78,0.173,0.454
small,knn,gpn,Nerve_Tibial,510,yes,0.862,-0.009,-0.233
small,svm,gpn,Nerve_Tibial,510,yes,0.784,0.164,0.427
middle,xgboost,gpn,Nerve_Tibial,510,yes,0.694,-0.084,0.312
middle,lightgbm,gpn,Nerve_Tibial,510,yes,0.688,-0.066,0.274
middle,random forest,gpn,Nerve_Tibial,510,yes,0.637,0.087,0.318
middle,knn,gpn,Nerve_Tibial,510,yes,0.678,-0.035,-0.009
middle,svm,gpn,Nerve_Tibial,510,yes,0.628,0.113,0.37
large,xgboost,gpn,Nerve_Tibial,510,yes,0.774,-0.095,0.339
large,lightgbm,gpn,Nerve_Tibial,510,yes,0.758,-0.053,0.313
large,random forest,gpn,Nerve_Tibial,510,yes,0.707,0.084,0.312
large,knn,gpn,Nerve_Tibial,510,yes,0.759,-0.055,-0.07
large,svm,gpn,Nerve_Tibial,510,yes,0.74,-0.002,0.338
small,xgboost,gpn,Nerve_Tibial,1030,yes,0.726,-0.145,0.172
small,lightgbm,gpn,Nerve_Tibial,1030,yes,0.708,-0.086,0.201
small,random forest,gpn,Nerve_Tibial,1030,yes,0.667,0.037,0.202
small,knn,gpn,Nerve_Tibial,1030,yes,0.682,-0.01,-0.061
small,svm,gpn,Nerve_Tibial,1030,yes,0.654,0.073,0.273
middle,xgboost,gpn,Nerve_Tibial,1030,yes,0.823,0.103,0.413
middle,lightgbm,gpn,Nerve_Tibial,1030,yes,0.764,0.228,0.488
middle,random forest,gpn,Nerve_Tibial,1030,yes,0.774,0.207,0.458
middle,knn,gpn,Nerve_Tibial,1030,yes,0.876,-0.015,-0.039
middle,svm,gpn,Nerve_Tibial,1030,yes,0.776,0.203,0.455
large,xgboost,gpn,Nerve_Tibial,1030,yes,0.712,0.22,0.531
large,lightgbm,gpn,Nerve_Tibial,1030,yes,0.687,0.274,0.556
large,random forest,gpn,Nerve_Tibial,1030,yes,0.667,0.316,0.577
large,knn,gpn,Nerve_Tibial,1030,yes,0.804,0.003,0.095
large,svm,gpn,Nerve_Tibial,1030,yes,0.643,0.363,0.611
