size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
middle,mlp,enformer,Heart_Left_Ventricle,510,yes,0.48,0.333,0.182,0.235
middle,cnn,enformer,Heart_Left_Ventricle,510,yes,0.56,0.5,0.545,0.522
middle,rnn,enformer,Heart_Left_Ventricle,510,yes,0.52,0.4,0.182,0.25
large,mlp,enformer,Heart_Left_Ventricle,510,yes,0.628,0.628,1.0,0.771
large,cnn,enformer,Heart_Left_Ventricle,510,yes,0.558,0.682,0.556,0.612
large,rnn,enformer,Heart_Left_Ventricle,510,yes,0.512,0.875,0.259,0.4
small,mlp,enformer,Heart_Left_Ventricle,1030,yes,0.75,0.783,0.947,0.857
small,cnn,enformer,Heart_Left_Ventricle,1030,yes,0.583,1.0,0.474,0.643
small,rnn,enformer,Heart_Left_Ventricle,1030,yes,0.542,0.75,0.632,0.686
middle,mlp,enformer,Heart_Left_Ventricle,1030,yes,0.6,0.667,0.824,0.737
middle,cnn,enformer,Heart_Left_Ventricle,1030,yes,0.44,0.6,0.529,0.562
middle,rnn,enformer,Heart_Left_Ventricle,1030,yes,0.44,0.615,0.471,0.533
large,mlp,enformer,Heart_Left_Ventricle,1030,yes,0.488,0.533,0.667,0.593
large,cnn,enformer,Heart_Left_Ventricle,1030,yes,0.488,0.536,0.625,0.577
large,rnn,enformer,Heart_Left_Ventricle,1030,yes,0.558,0.647,0.458,0.537
small,mlp,enformer,Nerve_Tibial,17,yes,0.5,1.0,0.042,0.08
small,cnn,enformer,Nerve_Tibial,17,yes,0.63,0.667,0.583,0.622
small,rnn,enformer,Nerve_Tibial,17,yes,0.5,0.519,0.583,0.549
middle,mlp,enformer,Nerve_Tibial,17,yes,0.597,0.667,0.65,0.658
middle,cnn,enformer,Nerve_Tibial,17,yes,0.478,0.581,0.45,0.507
middle,rnn,enformer,Nerve_Tibial,17,yes,0.582,0.7,0.525,0.6
large,mlp,enformer,Nerve_Tibial,17,yes,0.607,0.826,0.322,0.463
large,cnn,enformer,Nerve_Tibial,17,yes,0.536,0.569,0.492,0.527
large,rnn,enformer,Nerve_Tibial,17,yes,0.545,0.569,0.559,0.564
small,mlp,enformer,Nerve_Tibial,510,yes,0.522,0.533,0.96,0.686
small,cnn,enformer,Nerve_Tibial,510,yes,0.543,0.562,0.72,0.632
small,rnn,enformer,Nerve_Tibial,510,yes,0.543,0.567,0.68,0.618
middle,mlp,enformer,Nerve_Tibial,510,yes,0.672,0.673,0.902,0.771
middle,cnn,enformer,Nerve_Tibial,510,yes,0.478,0.594,0.463,0.521
middle,rnn,enformer,Nerve_Tibial,510,yes,0.463,0.593,0.39,0.471
large,mlp,enformer,Nerve_Tibial,510,yes,0.58,0.565,0.636,0.598
large,cnn,enformer,Nerve_Tibial,510,yes,0.554,0.551,0.491,0.519
large,rnn,enformer,Nerve_Tibial,510,yes,0.482,0.475,0.509,0.491
small,mlp,enformer,Nerve_Tibial,1030,yes,0.478,0.5,0.708,0.586
small,cnn,enformer,Nerve_Tibial,1030,yes,0.522,0.556,0.417,0.476
small,rnn,enformer,Nerve_Tibial,1030,yes,0.565,0.562,0.75,0.643
middle,mlp,enformer,Nerve_Tibial,1030,yes,0.522,0.526,0.588,0.556
middle,cnn,enformer,Nerve_Tibial,1030,yes,0.567,0.564,0.647,0.603
middle,rnn,enformer,Nerve_Tibial,1030,yes,0.448,0.448,0.382,0.413
large,mlp,enformer,Nerve_Tibial,1030,yes,0.589,0.549,0.549,0.549
large,cnn,enformer,Nerve_Tibial,1030,yes,0.562,0.516,0.627,0.566
large,rnn,enformer,Nerve_Tibial,1030,yes,0.571,0.533,0.471,0.5
