size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
large,knn,hyena,Heart_Left_Ventricle,17,yes,0.811,-0.015,0.01
large,svm,hyena,Heart_Left_Ventricle,17,yes,0.722,0.196,0.46
small,xgboost,hyena,Heart_Left_Ventricle,510,yes,0.669,-0.011,0.389
small,lightgbm,hyena,Heart_Left_Ventricle,510,yes,0.742,-0.243,0.155
small,random forest,hyena,Heart_Left_Ventricle,510,yes,0.656,0.027,0.247
small,knn,hyena,Heart_Left_Ventricle,510,yes,0.671,-0.017,0.289
small,svm,hyena,Heart_Left_Ventricle,510,yes,0.656,0.027,0.307
middle,xgboost,hyena,Heart_Left_Ventricle,510,yes,0.781,-0.004,0.258
middle,lightgbm,hyena,Heart_Left_Ventricle,510,yes,0.747,0.083,0.35
middle,random forest,hyena,Heart_Left_Ventricle,510,yes,0.753,0.067,0.287
middle,knn,hyena,Heart_Left_Ventricle,510,yes,0.782,-0.005,0.084
middle,svm,hyena,Heart_Left_Ventricle,510,yes,0.774,0.015,0.257
large,xgboost,hyena,Heart_Left_Ventricle,510,yes,0.781,-0.088,0.264
large,lightgbm,hyena,Heart_Left_Ventricle,510,yes,0.746,0.005,0.311
large,random forest,hyena,Heart_Left_Ventricle,510,yes,0.694,0.14,0.41
large,knn,hyena,Heart_Left_Ventricle,510,yes,0.78,-0.088,-0.283
large,svm,hyena,Heart_Left_Ventricle,510,yes,0.716,0.082,0.346
small,xgboost,hyena,Heart_Left_Ventricle,1030,yes,0.768,0.008,0.413
small,lightgbm,hyena,Heart_Left_Ventricle,1030,yes,0.846,-0.205,0.273
small,random forest,hyena,Heart_Left_Ventricle,1030,yes,0.78,-0.025,0.321
small,knn,hyena,Heart_Left_Ventricle,1030,yes,0.855,-0.233,-0.023
small,svm,hyena,Heart_Left_Ventricle,1030,yes,0.811,-0.107,0.296
middle,xgboost,hyena,Heart_Left_Ventricle,1030,yes,0.931,-0.586,0.104
middle,lightgbm,hyena,Heart_Left_Ventricle,1030,yes,0.894,-0.463,0.009
middle,random forest,hyena,Heart_Left_Ventricle,1030,yes,0.889,-0.446,-0.034
middle,knn,hyena,Heart_Left_Ventricle,1030,yes,0.758,-0.05,-0.079
middle,svm,hyena,Heart_Left_Ventricle,1030,yes,0.787,-0.134,0.105
large,xgboost,hyena,Heart_Left_Ventricle,1030,yes,0.888,-0.444,0.011
large,lightgbm,hyena,Heart_Left_Ventricle,1030,yes,0.901,-0.489,-0.187
large,random forest,hyena,Heart_Left_Ventricle,1030,yes,0.826,-0.249,-0.118
large,knn,hyena,Heart_Left_Ventricle,1030,yes,0.771,-0.088,0.071
large,svm,hyena,Heart_Left_Ventricle,1030,yes,0.783,-0.123,0.179
small,xgboost,hyena,Nerve_Tibial,17,no,0.852,-0.45,-0.194
small,lightgbm,hyena,Nerve_Tibial,17,no,0.849,-0.44,-0.282
small,random forest,hyena,Nerve_Tibial,17,no,0.774,-0.195,-0.155
small,knn,hyena,Nerve_Tibial,17,no,0.72,-0.034,-0.104
small,svm,hyena,Nerve_Tibial,17,no,0.725,-0.049,-0.048
middle,xgboost,hyena,Nerve_Tibial,17,no,0.931,-0.362,-0.041
middle,lightgbm,hyena,Nerve_Tibial,17,no,0.888,-0.241,0
middle,random forest,hyena,Nerve_Tibial,17,no,0.886,-0.233,-0.102
middle,knn,hyena,Nerve_Tibial,17,no,0.79,0.019,0.194
middle,svm,hyena,Nerve_Tibial,17,no,0.809,-0.029,-0.16
large,xgboost,hyena,Nerve_Tibial,17,no,0.813,-0.323,-0.029
large,lightgbm,hyena,Nerve_Tibial,17,no,0.747,-0.119,0.113
large,random forest,hyena,Nerve_Tibial,17,no,0.727,-0.059,0.083
large,knn,hyena,Nerve_Tibial,17,no,0.706,0,0.157
large,svm,hyena,Nerve_Tibial,17,no,0.712,-0.017,-0.029
small,xgboost,hyena,Nerve_Tibial,510,no,0.911,-0.659,-0.171
small,lightgbm,hyena,Nerve_Tibial,510,no,0.893,-0.593,-0.35
small,random forest,hyena,Nerve_Tibial,510,no,0.772,-0.189,-0.137
small,knn,hyena,Nerve_Tibial,510,no,0.719,-0.033,-0.061
small,svm,hyena,Nerve_Tibial,510,no,0.725,-0.049,-0.048
middle,xgboost,hyena,Nerve_Tibial,510,no,0.931,-0.362,-0.042
middle,lightgbm,hyena,Nerve_Tibial,510,no,0.961,-0.452,-0.146
middle,random forest,hyena,Nerve_Tibial,510,no,0.878,-0.212,-0.043
middle,knn,hyena,Nerve_Tibial,510,no,0.806,-0.021,-0.031
middle,svm,hyena,Nerve_Tibial,510,no,0.905,-0.286,-0.065
large,xgboost,hyena,Nerve_Tibial,510,no,0.775,-0.204,0.033
large,lightgbm,hyena,Nerve_Tibial,510,no,0.762,-0.163,0.085
large,random forest,hyena,Nerve_Tibial,510,no,0.725,-0.055,0.1
large,knn,hyena,Nerve_Tibial,510,no,0.706,0,0.157
large,svm,hyena,Nerve_Tibial,510,no,0.712,-0.017,-0.029
small,xgboost,hyena,Nerve_Tibial,1030,no,0.853,-0.452,-0.189
small,lightgbm,hyena,Nerve_Tibial,1030,no,0.893,-0.593,-0.35
small,random forest,hyena,Nerve_Tibial,1030,no,0.797,-0.267,-0.223
small,knn,hyena,Nerve_Tibial,1030,no,0.72,-0.034,-0.104
small,svm,hyena,Nerve_Tibial,1030,no,0.725,-0.049,-0.048
middle,xgboost,hyena,Nerve_Tibial,1030,no,0.931,-0.362,-0.041
middle,lightgbm,hyena,Nerve_Tibial,1030,no,0.941,-0.039,-0.157
middle,random forest,hyena,Nerve_Tibial,1030,no,0.871,-0.194,0
middle,knn,hyena,Nerve_Tibial,1030,no,0.79,0.019,0.194
middle,svm,hyena,Nerve_Tibial,1030,no,0.809,-0.029,-0.16
large,xgboost,hyena,Nerve_Tibial,1030,no,0.809,-0.311,-0.035
large,lightgbm,hyena,Nerve_Tibial,1030,no,0.762,-0.163,0.085
large,random forest,hyena,Nerve_Tibial,1030,no,0.74,-0.097,0.034
large,knn,hyena,Nerve_Tibial,1030,no,0.706,0,0.157
large,svm,hyena,Nerve_Tibial,1030,no,0.712,-0.017,-0.029
small,xgboost,hyena,Nerve_Tibial,17,yes,0.856,-0.026,0.276
small,lightgbm,hyena,Nerve_Tibial,17,yes,0.864,-0.045,0.234
small,random forest,hyena,Nerve_Tibial,17,yes,0.822,0.053,0.265
small,knn,hyena,Nerve_Tibial,17,yes,0.854,-0.021,-0.13
small,svm,hyena,Nerve_Tibial,17,yes,0.786,0.136,0.38
middle,xgboost,hyena,Nerve_Tibial,17,yes,0.754,-0.311,0.202
middle,lightgbm,hyena,Nerve_Tibial,17,yes,0.672,-0.041,0.305
middle,random forest,hyena,Nerve_Tibial,17,yes,0.646,0.036,0.285
middle,knn,hyena,Nerve_Tibial,17,yes,0.682,-0.073,-0.154
middle,svm,hyena,Nerve_Tibial,17,yes,0.648,0.031,0.272
large,xgboost,hyena,Nerve_Tibial,17,yes,0.712,0.15,0.516
large,lightgbm,hyena,Nerve_Tibial,17,yes,0.707,0.163,0.501
large,random forest,hyena,Nerve_Tibial,17,yes,0.678,0.229,0.505
large,knn,hyena,Nerve_Tibial,17,yes,0.777,-0.013,0.072
large,svm,hyena,Nerve_Tibial,17,yes,0.637,0.319,0.582
small,xgboost,hyena,Nerve_Tibial,510,yes,0.716,0.303,0.551
small,lightgbm,hyena,Nerve_Tibial,510,yes,0.71,0.315,0.579
small,random forest,hyena,Nerve_Tibial,510,yes,0.766,0.203,0.51
small,knn,hyena,Nerve_Tibial,510,yes,0.864,-0.015,-0.246
small,svm,hyena,Nerve_Tibial,510,yes,0.808,0.113,0.346
middle,xgboost,hyena,Nerve_Tibial,510,yes,0.73,-0.2,0.19
middle,lightgbm,hyena,Nerve_Tibial,510,yes,0.687,-0.062,0.289
middle,random forest,hyena,Nerve_Tibial,510,yes,0.687,0.058,0.291
middle,knn,hyena,Nerve_Tibial,510,yes,0.665,0.005,0.164
middle,svm,hyena,Nerve_Tibial,510,yes,0.631,0.103,0.36
large,xgboost,hyena,Nerve_Tibial,510,yes,0.814,-0.073,0.34
large,lightgbm,hyena,Nerve_Tibial,510,yes,0.745,0.102,0.398
large,random forest,hyena,Nerve_Tibial,510,yes,0.726,0.148,0.395
large,knn,hyena,Nerve_Tibial,510,yes,0.801,-0.039,0.026
large,svm,hyena,Nerve_Tibial,510,yes,0.681,0.249,0.514
small,xgboost,hyena,Nerve_Tibial,1030,yes,0.802,-0.395,0.007
small,lightgbm,hyena,Nerve_Tibial,1030,yes,0.666,0.037,0.291
small,random forest,hyena,Nerve_Tibial,1030,yes,0.687,-0.024,0.122
small,knn,hyena,Nerve_Tibial,1030,yes,0.687,-0.023,-0.194
small,svm,hyena,Nerve_Tibial,1030,yes,0.639,0.114,0.339
middle,xgboost,hyena,Nerve_Tibial,1030,yes,0.738,0.212,0.487
middle,lightgbm,hyena,Nerve_Tibial,1030,yes,0.765,0.154,0.432
middle,random forest,hyena,Nerve_Tibial,1030,yes,0.762,0.161,0.406
middle,knn,hyena,Nerve_Tibial,1030,yes,0.823,0.02,0.178
middle,svm,hyena,Nerve_Tibial,1030,yes,0.758,0.17,0.414
large,xgboost,hyena,Nerve_Tibial,1030,yes,0.874,-0.25,0.248
large,lightgbm,hyena,Nerve_Tibial,1030,yes,0.866,-0.236,0.23
large,random forest,hyena,Nerve_Tibial,1030,yes,0.792,-0.025,0.174
large,knn,hyena,Nerve_Tibial,1030,yes,0.789,-0.017,0.015
large,svm,hyena,Nerve_Tibial,1030,yes,0.772,0.027,0.326
