size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
large,cnn,hyena,Esophagus_Mucosa,510,yes,0.407,0.5,0.042,0.077
large,rnn,hyena,Esophagus_Mucosa,510,yes,0.407,0.0,0.0,0.0
small,mlp,hyena,Esophagus_Mucosa,1030,yes,0.442,0.0,0.0,0.0
small,cnn,hyena,Esophagus_Mucosa,1030,yes,0.465,0.667,0.083,0.148
small,rnn,hyena,Esophagus_Mucosa,1030,yes,0.535,0.7,0.292,0.412
middle,mlp,hyena,Esophagus_Mucosa,1030,yes,0.481,0.562,0.581,0.571
middle,cnn,hyena,Esophagus_Mucosa,1030,yes,0.404,0.0,0.0,0.0
middle,rnn,hyena,Esophagus_Mucosa,1030,yes,0.385,0.478,0.355,0.407
large,mlp,hyena,Esophagus_Mucosa,1030,yes,0.481,0.515,0.773,0.618
large,cnn,hyena,Esophagus_Mucosa,1030,yes,0.469,0.512,0.477,0.494
large,rnn,hyena,Esophagus_Mucosa,1030,yes,0.432,0.471,0.364,0.41
small,mlp,hyena,Heart_Left_Ventricle,17,yes,0.56,0.56,1.0,0.718
small,cnn,hyena,Heart_Left_Ventricle,17,yes,0.56,0.56,1.0,0.718
small,rnn,hyena,Heart_Left_Ventricle,17,yes,0.56,0.56,1.0,0.718
middle,mlp,hyena,Heart_Left_Ventricle,17,yes,0.423,0.423,1.0,0.595
middle,cnn,hyena,Heart_Left_Ventricle,17,yes,0.577,0.0,0.0,0.0
middle,rnn,hyena,Heart_Left_Ventricle,17,yes,0.577,0.0,0.0,0.0
large,mlp,hyena,Heart_Left_Ventricle,17,yes,0.591,0.591,1.0,0.743
large,cnn,hyena,Heart_Left_Ventricle,17,yes,0.591,0.591,1.0,0.743
large,rnn,hyena,Heart_Left_Ventricle,17,yes,0.409,0.0,0.0,0.0
small,mlp,hyena,Heart_Left_Ventricle,510,yes,0.6,0.6,1.0,0.75
small,cnn,hyena,Heart_Left_Ventricle,510,yes,0.6,0.6,1.0,0.75
small,rnn,hyena,Heart_Left_Ventricle,510,yes,0.64,0.636,0.933,0.757
middle,mlp,hyena,Heart_Left_Ventricle,510,yes,0.615,0.571,0.923,0.706
middle,cnn,hyena,Heart_Left_Ventricle,510,yes,0.385,0.0,0.0,0.0
middle,rnn,hyena,Heart_Left_Ventricle,510,yes,0.423,0.25,0.077,0.118
large,mlp,hyena,Heart_Left_Ventricle,510,yes,0.455,0.524,0.44,0.478
large,cnn,hyena,Heart_Left_Ventricle,510,yes,0.568,0.568,1.0,0.725
large,rnn,hyena,Heart_Left_Ventricle,510,yes,0.568,0.568,1.0,0.725
small,mlp,hyena,Heart_Left_Ventricle,1030,yes,0.8,0.826,0.95,0.884
small,cnn,hyena,Heart_Left_Ventricle,1030,yes,0.68,0.8,0.8,0.8
small,rnn,hyena,Heart_Left_Ventricle,1030,yes,0.4,0.692,0.45,0.545
middle,mlp,hyena,Heart_Left_Ventricle,1030,yes,0.5,0.5,0.462,0.48
middle,cnn,hyena,Heart_Left_Ventricle,1030,yes,0.538,0.538,0.538,0.538
middle,rnn,hyena,Heart_Left_Ventricle,1030,yes,0.269,0.333,0.462,0.387
large,mlp,hyena,Heart_Left_Ventricle,1030,yes,0.568,0.568,1.0,0.725
large,cnn,hyena,Heart_Left_Ventricle,1030,yes,0.432,0.0,0.0,0.0
large,rnn,hyena,Heart_Left_Ventricle,1030,yes,0.432,0.0,0.0,0.0
small,mlp,hyena,Nerve_Tibial,17,yes,0.522,0.533,0.96,0.686
small,cnn,hyena,Nerve_Tibial,17,yes,0.522,0.533,0.96,0.686
small,rnn,hyena,Nerve_Tibial,17,yes,0.543,0.543,1.0,0.704
middle,mlp,hyena,Nerve_Tibial,17,yes,0.485,0.485,1.0,0.653
middle,cnn,hyena,Nerve_Tibial,17,yes,0.559,0.525,0.97,0.681
middle,rnn,hyena,Nerve_Tibial,17,yes,0.412,0.294,0.152,0.2
large,mlp,hyena,Nerve_Tibial,17,yes,0.558,0.619,0.433,0.51
large,cnn,hyena,Nerve_Tibial,17,yes,0.558,0.593,0.533,0.561
large,rnn,hyena,Nerve_Tibial,17,yes,0.531,0.64,0.267,0.376
small,mlp,hyena,Nerve_Tibial,510,yes,0.543,0.543,1.0,0.704
small,cnn,hyena,Nerve_Tibial,510,yes,0.543,0.543,1.0,0.704
small,rnn,hyena,Nerve_Tibial,510,yes,0.478,0.514,0.76,0.613
middle,mlp,hyena,Nerve_Tibial,510,yes,0.471,0.375,0.577,0.455
middle,cnn,hyena,Nerve_Tibial,510,yes,0.382,0.382,1.0,0.553
middle,rnn,hyena,Nerve_Tibial,510,yes,0.382,0.382,1.0,0.553
large,mlp,hyena,Nerve_Tibial,510,yes,0.549,0.567,0.633,0.598
large,cnn,hyena,Nerve_Tibial,510,yes,0.522,0.554,0.517,0.534
large,rnn,hyena,Nerve_Tibial,510,yes,0.522,0.528,0.933,0.675
small,mlp,hyena,Nerve_Tibial,1030,yes,0.478,0.5,0.833,0.625
small,cnn,hyena,Nerve_Tibial,1030,yes,0.413,0.448,0.542,0.491
small,rnn,hyena,Nerve_Tibial,1030,yes,0.435,0.471,0.667,0.552
middle,mlp,hyena,Nerve_Tibial,1030,yes,0.456,0.47,0.939,0.626
middle,cnn,hyena,Nerve_Tibial,1030,yes,0.485,0.485,1.0,0.653
middle,rnn,hyena,Nerve_Tibial,1030,yes,0.485,0.485,1.0,0.653
large,mlp,hyena,Nerve_Tibial,1030,yes,0.549,0.583,0.475,0.523
large,cnn,hyena,Nerve_Tibial,1030,yes,0.522,0.522,1.0,0.686
large,rnn,hyena,Nerve_Tibial,1030,yes,0.522,0.529,0.78,0.63
