size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,mlp,dnabert2,Esophagus_Mucosa,1030,yes,0.738,0.116,0.243,0.116
small,cnn,dnabert2,Esophagus_Mucosa,1030,yes,0.68,0.052,0.315,0.039
small,rnn,dnabert2,Esophagus_Mucosa,1030,yes,0.686,0.036,0.228,0.141
middle,mlp,dnabert2,Esophagus_Mucosa,1030,yes,0.764,0.01,0.037,0.793
middle,cnn,dnabert2,Esophagus_Mucosa,1030,yes,0.767,0.017,0.13,0.359
middle,rnn,dnabert2,Esophagus_Mucosa,1030,yes,0.814,0.145,0.201,0.153
large,mlp,dnabert2,Esophagus_Mucosa,1030,yes,0.767,0.008,0.116,0.302
large,cnn,dnabert2,Esophagus_Mucosa,1030,yes,0.773,0.007,0.015,0.892
large,rnn,dnabert2,Esophagus_Mucosa,1030,yes,0.772,0.005,0.133,0.238
small,mlp,dnabert2,Heart_Left_Ventricle,17,yes,0.969,0.003,0.066,0.754
small,cnn,dnabert2,Heart_Left_Ventricle,17,yes,0.98,0.02,0.156,0.457
small,rnn,dnabert2,Heart_Left_Ventricle,17,yes,1.067,0.208,0.121,0.566
middle,mlp,dnabert2,Heart_Left_Ventricle,17,yes,0.672,0.143,0.255,0.209
middle,cnn,dnabert2,Heart_Left_Ventricle,17,yes,0.641,0.04,0.229,0.261
middle,rnn,dnabert2,Heart_Left_Ventricle,17,yes,1.019,1.628,0.156,0.448
large,mlp,dnabert2,Heart_Left_Ventricle,17,yes,0.89,0.025,0.075,0.628
large,cnn,dnabert2,Heart_Left_Ventricle,17,yes,0.882,0.006,0.099,0.521
large,rnn,dnabert2,Heart_Left_Ventricle,17,yes,0.939,0.14,0.349,0.02
small,mlp,dnabert2,Heart_Left_Ventricle,510,yes,0.667,0.005,0.101,0.629
small,cnn,dnabert2,Heart_Left_Ventricle,510,yes,0.711,0.144,0.167,0.425
small,rnn,dnabert2,Heart_Left_Ventricle,510,yes,0.731,0.209,0.119,0.572
middle,mlp,dnabert2,Heart_Left_Ventricle,510,yes,0.72,0.09,0.352,0.078
middle,cnn,dnabert2,Heart_Left_Ventricle,510,yes,0.703,0.04,0.202,0.322
middle,rnn,dnabert2,Heart_Left_Ventricle,510,yes,0.725,0.104,0.279,0.168
large,mlp,dnabert2,Heart_Left_Ventricle,510,yes,0.723,0.059,0.168,0.276
large,cnn,dnabert2,Heart_Left_Ventricle,510,yes,0.703,0.002,0.109,0.483
large,rnn,dnabert2,Heart_Left_Ventricle,510,yes,0.728,0.074,0.186,0.226
small,mlp,dnabert2,Heart_Left_Ventricle,1030,yes,0.789,0.048,0.151,0.47
small,cnn,dnabert2,Heart_Left_Ventricle,1030,yes,0.89,0.333,0.149,0.476
small,rnn,dnabert2,Heart_Left_Ventricle,1030,yes,0.917,0.415,0.128,0.542
middle,mlp,dnabert2,Heart_Left_Ventricle,1030,yes,0.828,0.086,0.516,0.007
middle,cnn,dnabert2,Heart_Left_Ventricle,1030,yes,0.844,0.127,0.111,0.589
middle,rnn,dnabert2,Heart_Left_Ventricle,1030,yes,0.913,0.321,0.108,0.6
large,mlp,dnabert2,Heart_Left_Ventricle,1030,yes,0.761,0.03,0.11,0.476
large,cnn,dnabert2,Heart_Left_Ventricle,1030,yes,0.754,0.009,0.111,0.474
large,rnn,dnabert2,Heart_Left_Ventricle,1030,yes,0.755,0.014,0.133,0.389
small,mlp,dnabert2,Nerve_Tibial,17,yes,0.849,0.009,0.058,0.701
small,cnn,dnabert2,Nerve_Tibial,17,yes,0.848,0.005,0.04,0.792
small,rnn,dnabert2,Nerve_Tibial,17,yes,0.843,0.006,0.209,0.164
middle,mlp,dnabert2,Nerve_Tibial,17,yes,0.817,0.017,0.04,0.747
middle,cnn,dnabert2,Nerve_Tibial,17,yes,0.815,0.012,0.188,0.126
middle,rnn,dnabert2,Nerve_Tibial,17,yes,0.918,0.284,0.116,0.345
large,mlp,dnabert2,Nerve_Tibial,17,yes,0.774,0.004,0.099,0.298
large,cnn,dnabert2,Nerve_Tibial,17,yes,0.773,0.001,0.1,0.293
large,rnn,dnabert2,Nerve_Tibial,17,yes,0.792,0.052,0.149,0.114
small,mlp,dnabert2,Nerve_Tibial,510,yes,0.862,0.01,0.046,0.76
small,cnn,dnabert2,Nerve_Tibial,510,yes,0.856,0.004,0.169,0.261
small,rnn,dnabert2,Nerve_Tibial,510,yes,0.854,0.009,0.109,0.473
middle,mlp,dnabert2,Nerve_Tibial,510,yes,0.808,0.058,0.055,0.659
middle,cnn,dnabert2,Nerve_Tibial,510,yes,0.774,0.029,0.193,0.115
middle,rnn,dnabert2,Nerve_Tibial,510,yes,0.822,0.094,0.137,0.265
large,mlp,dnabert2,Nerve_Tibial,510,yes,0.803,0.002,0.096,0.311
large,cnn,dnabert2,Nerve_Tibial,510,yes,0.804,0.004,0.041,0.668
large,rnn,dnabert2,Nerve_Tibial,510,yes,0.8,0.004,0.102,0.284
small,mlp,dnabert2,Nerve_Tibial,1030,yes,0.671,0.023,0.231,0.122
small,cnn,dnabert2,Nerve_Tibial,1030,yes,0.703,0.072,0.186,0.216
small,rnn,dnabert2,Nerve_Tibial,1030,yes,0.676,0.008,0.214,0.154
middle,mlp,dnabert2,Nerve_Tibial,1030,yes,0.876,0.011,0.209,0.087
middle,cnn,dnabert2,Nerve_Tibial,1030,yes,0.879,0.018,0.306,0.011
middle,rnn,dnabert2,Nerve_Tibial,1030,yes,0.883,0.027,0.299,0.013
large,mlp,dnabert2,Nerve_Tibial,1030,yes,0.803,0.002,0.035,0.712
large,cnn,dnabert2,Nerve_Tibial,1030,yes,0.804,0.003,0.076,0.425
large,rnn,dnabert2,Nerve_Tibial,1030,yes,0.805,0.006,0.015,0.874
