size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,mlp,NT,Heart_Left_Ventricle,1030,yes,0.879,0.3,0.209,0.316
small,cnn,NT,Heart_Left_Ventricle,1030,yes,0.909,0.392,0.231,0.267
small,rnn,NT,Heart_Left_Ventricle,1030,yes,1.152,1.234,0.246,0.235
middle,mlp,NT,Heart_Left_Ventricle,1030,yes,0.741,0.052,0.137,0.506
middle,cnn,NT,Heart_Left_Ventricle,1030,yes,0.8,0.225,0.103,0.615
middle,rnn,NT,Heart_Left_Ventricle,1030,yes,0.829,0.316,0.065,0.753
large,mlp,NT,Heart_Left_Ventricle,1030,yes,0.812,0.368,0.062,0.688
large,cnn,NT,Heart_Left_Ventricle,1030,yes,0.77,0.228,0.263,0.084
large,rnn,NT,Heart_Left_Ventricle,1030,yes,0.781,0.265,0.088,0.569
small,mlp,NT,Nerve_Tibial,17,yes,0.855,0.023,0.023,0.879
small,cnn,NT,Nerve_Tibial,17,yes,0.871,0.061,0.108,0.473
small,rnn,NT,Nerve_Tibial,17,yes,0.981,0.347,0.027,0.861
middle,mlp,NT,Nerve_Tibial,17,yes,0.766,0.022,0.04,0.746
middle,cnn,NT,Nerve_Tibial,17,yes,0.787,0.08,0.294,0.015
middle,rnn,NT,Nerve_Tibial,17,yes,0.76,0.008,0.184,0.132
large,mlp,NT,Nerve_Tibial,17,yes,0.846,0.082,0.214,0.023
large,cnn,NT,Nerve_Tibial,17,yes,0.784,0.071,0.284,0.002
large,rnn,NT,Nerve_Tibial,17,yes,0.801,0.03,0.185,0.05
small,mlp,NT,Nerve_Tibial,510,yes,0.87,0.028,0.049,0.745
small,cnn,NT,Nerve_Tibial,510,yes,0.847,0.025,0.175,0.244
small,rnn,NT,Nerve_Tibial,510,yes,0.859,0.003,0.255,0.087
middle,mlp,NT,Nerve_Tibial,510,yes,0.734,0.026,0.114,0.354
middle,cnn,NT,Nerve_Tibial,510,yes,0.741,0.047,0.073,0.556
middle,rnn,NT,Nerve_Tibial,510,yes,0.756,0.089,0.116,0.344
large,mlp,NT,Nerve_Tibial,510,yes,0.755,0.025,0.044,0.646
