size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
small,transformer,NT,Heart_Left_Ventricle,510,yes,0.7816,-0.0028,0.0265
middle,transformer,NT,Heart_Left_Ventricle,17,yes,0.7745,-0.0019,-0.0614
middle,transformer,NT,Nerve_Tibial,510,yes,0.7784,-0.0014,-0.0279
small,transformer,NT,Nerve_Tibial,510,yes,0.7788,-0.0066,-0.0054
middle,transformer,NT,Nerve_Tibial,1024,yes,0.7426,0.0373,0.2735
large,transformer,NT,Heart_Left_Ventricle,1024,yes,0.8562,-0.041,-0.3058
small,transformer,NT,Esophagus_Mucosa,17,yes,0.7604,0.0992,0.3531
small,transformer,NT,Heart_Left_Ventricle,17,yes,0.7131,-0.0034,0.0004
small,transformer,NT,Esophagus_Mucosa,510,yes,0.7566,0.0297,0.3023
middle,transformer,NT,Esophagus_Mucosa,1024,yes,0.7385,0.0571,0.3307
middle,transformer,NT,Heart_Left_Ventricle,510,yes,0.8777,-0.0353,0.3443
large,transformer,NT,Heart_Left_Ventricle,17,yes,0.766,0.0207,0.1676
middle,transformer,NT,Esophagus_Mucosa,17,yes,0.6936,0.0011,0.1183
large,transformer,NT,Esophagus_Mucosa,1024,yes,0.7822,0.0063,0.1045
middle,transformer,NT,Esophagus_Mucosa,510,yes,0.6725,0.0017,0.1404
large,transformer,NT,Nerve_Tibial,1024,yes,0.7474,0.0597,0.3255
large,transformer,NT,Esophagus_Mucosa,510,yes,0.7916,-0.0043,-0.0193
small,transformer,NT,Heart_Left_Ventricle,1024,yes,0.6558,0.0026,0.0777
small,transformer,NT,Esophagus_Mucosa,1024,yes,0.6506,0.0254,0.3124
large,transformer,NT,Heart_Left_Ventricle,510,yes,0.697,-0.0031,0.012
large,transformer,NT,Nerve_Tibial,510,yes,0.7652,0.0799,0.3661
large,transformer,NT,Esophagus_Mucosa,17,yes,0.7472,-0.0025,-0.0199
middle,transformer,NT,Heart_Left_Ventricle,1024,yes,0.7848,0.003,0.1346
large,transformer,NT,Nerve_Tibial,17,yes,0.7399,-0.0119,-0.0487
small,transformer,NT,Nerve_Tibial,17,no,0.7065,0.0036,0.2533
small,transformer,NT,Nerve_Tibial,1024,no,0.7066,0.0034,0.351
middle,transformer,NT,Nerve_Tibial,17,no,0.8016,-0.0104,0.1078
small,transformer,NT,Heart_Left_Ventricle,510,no,0.6347,-0.0028,-0.0533
middle,transformer,NT,Heart_Left_Ventricle,17,no,0.7802,-0.0183,-0.0936
middle,transformer,NT,Nerve_Tibial,510,no,0.7984,-0.0022,-0.1154
small,transformer,NT,Nerve_Tibial,510,no,0.7142,-0.0181,0.3173
middle,transformer,NT,Nerve_Tibial,1024,no,0.799,-0.0037,0.0498
large,transformer,NT,Heart_Left_Ventricle,1024,no,0.6143,-0.0875,0.0736
small,transformer,NT,Esophagus_Mucosa,17,no,0.7664,-0.0128,0.2281
small,transformer,NT,Heart_Left_Ventricle,17,no,0.634,-0.0004,0.017
small,transformer,NT,Esophagus_Mucosa,510,no,0.7623,-0.0018,-0.0782
middle,transformer,NT,Esophagus_Mucosa,1024,no,0.816,-0.1414,0.0566
middle,transformer,NT,Heart_Left_Ventricle,510,no,0.773,0.0004,0.1003
large,transformer,NT,Heart_Left_Ventricle,17,no,0.6174,-0.0985,0.018
middle,transformer,NT,Esophagus_Mucosa,17,no,0.7974,-0.0899,0.0514
large,transformer,NT,Esophagus_Mucosa,1024,no,0.751,0.0006,0.0839
middle,transformer,NT,Esophagus_Mucosa,510,no,0.8077,-0.1181,0.0574
large,transformer,NT,Nerve_Tibial,1024,no,0.691,0.0429,0.2676
large,transformer,NT,Esophagus_Mucosa,510,no,0.7558,-0.0122,0.1198
small,transformer,NT,Heart_Left_Ventricle,1024,no,0.6344,-0.0017,-0.0781
small,transformer,NT,Esophagus_Mucosa,1024,no,0.7696,-0.0211,0.0353
large,transformer,NT,Heart_Left_Ventricle,510,no,0.589,0.0001,0.0351
large,transformer,NT,Nerve_Tibial,510,no,0.6897,0.0466,0.2213
large,transformer,NT,Esophagus_Mucosa,17,no,0.7579,-0.0177,0.0319
middle,transformer,NT,Heart_Left_Ventricle,1024,no,0.7753,-0.0055,0.1711
large,transformer,NT,Nerve_Tibial,17,no,0.6938,0.0349,0.2256
small,transformer,gpn,Nerve_Tibial,17,yes,0.7105,-0.0007,-0.0906
small,transformer,gpn,Nerve_Tibial,1024,yes,0.8828,-0.0094,-0.3806
middle,transformer,gpn,Nerve_Tibial,17,yes,0.745,0.0137,0.1501
small,transformer,gpn,Heart_Left_Ventricle,510,yes,0.8513,-0.0104,-0.1816
middle,transformer,gpn,Heart_Left_Ventricle,17,yes,0.8752,0.036,0.2835
middle,transformer,gpn,Nerve_Tibial,510,yes,0.756,-0.0361,0.0782
small,transformer,gpn,Nerve_Tibial,510,yes,0.7732,-0.0072,-0.1158
middle,transformer,gpn,Nerve_Tibial,1024,yes,0.7319,-0.0357,0.0344
large,transformer,gpn,Heart_Left_Ventricle,1024,yes,0.7662,-0.0151,-0.2824
small,transformer,gpn,Esophagus_Mucosa,17,yes,0.6854,0.0396,0.317
small,transformer,gpn,Heart_Left_Ventricle,17,yes,0.7035,-0.0607,-0.283
small,transformer,gpn,Esophagus_Mucosa,510,yes,0.7444,0.0199,0.1892
middle,transformer,gpn,Esophagus_Mucosa,1024,yes,0.7637,-0.0562,0.1179
middle,transformer,gpn,Heart_Left_Ventricle,510,yes,0.6666,-0.0052,-0.0082
large,transformer,gpn,Heart_Left_Ventricle,17,yes,0.7904,0.0563,0.2766
middle,transformer,gpn,Esophagus_Mucosa,17,yes,0.7273,0.1286,0.4971
large,transformer,gpn,Esophagus_Mucosa,1024,yes,0.7071,-0.0428,0.1078
middle,transformer,gpn,Esophagus_Mucosa,510,yes,0.6886,0.033,0.2886
large,transformer,gpn,Nerve_Tibial,1024,yes,0.7808,0.0855,0.2952
large,transformer,gpn,Esophagus_Mucosa,510,yes,0.7903,-0.0439,-0.0243
small,transformer,gpn,Heart_Left_Ventricle,1024,yes,0.7343,-0.0037,0.1601
small,transformer,gpn,Esophagus_Mucosa,1024,yes,0.6494,0.0751,0.2881
large,transformer,gpn,Heart_Left_Ventricle,510,yes,0.6762,0.2285,0.5384
large,transformer,gpn,Nerve_Tibial,510,yes,0.7454,0.0089,0.1247
large,transformer,gpn,Esophagus_Mucosa,17,yes,0.7032,-0.0147,0.1455
middle,transformer,gpn,Heart_Left_Ventricle,1024,yes,0.854,0.0533,0.2857
large,transformer,gpn,Nerve_Tibial,17,yes,0.7718,0.0315,0.2544
small,transformer,gpn,Nerve_Tibial,17,no,0.72,-0.0347,-0.0893
small,transformer,gpn,Nerve_Tibial,1024,no,0.7116,-0.0109,-0.0818
middle,transformer,gpn,Nerve_Tibial,17,no,0.7973,0.0005,0.1665
small,transformer,gpn,Heart_Left_Ventricle,510,no,0.6262,0.024,0.1635
middle,transformer,gpn,Heart_Left_Ventricle,17,no,0.7739,-0.0018,-0.1214
middle,transformer,gpn,Nerve_Tibial,510,no,0.7981,-0.0014,0.0941
small,transformer,gpn,Nerve_Tibial,510,no,0.7084,-0.0017,-0.0075
middle,transformer,gpn,Nerve_Tibial,1024,no,0.8011,-0.0091,0.0891
large,transformer,gpn,Heart_Left_Ventricle,1024,no,0.5884,0.0022,0.1634
small,transformer,gpn,Esophagus_Mucosa,17,no,0.7585,0.008,0.188
small,transformer,gpn,Heart_Left_Ventricle,17,no,0.6306,0.0103,0.17
small,transformer,gpn,Esophagus_Mucosa,510,no,0.7637,-0.0056,0.2205
middle,transformer,gpn,Esophagus_Mucosa,1024,no,0.7732,-0.0248,0.1147
middle,transformer,gpn,Heart_Left_Ventricle,510,no,0.7822,-0.0235,-0.1065
large,transformer,gpn,Heart_Left_Ventricle,17,no,0.6174,-0.0985,-0.1322
middle,transformer,gpn,Esophagus_Mucosa,17,no,0.8,-0.0971,0.1299
large,transformer,gpn,Esophagus_Mucosa,1024,no,0.7532,-0.0051,0.0778
middle,transformer,gpn,Esophagus_Mucosa,510,no,0.7713,-0.0197,0.0028
