size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
large,mlp,onehot,Nerve_Tibial,17,yes,0.728,0.017,0.351,0.003
large,cnn,onehot,Nerve_Tibial,17,yes,0.74,0.123,0.366,0.002
large,rnn,onehot,Nerve_Tibial,17,yes,0.802,0.029,0.019,0.879
small,mlp,onehot,Nerve_Tibial,510,yes,0.844,0.033,0.294,0.048
small,cnn,onehot,Nerve_Tibial,510,yes,0.808,0.112,0.364,0.013
small,rnn,onehot,Nerve_Tibial,510,yes,0.789,0.153,0.428,0.003
middle,mlp,onehot,Nerve_Tibial,510,yes,0.86,0.006,0.059,0.699
middle,cnn,onehot,Nerve_Tibial,510,yes,0.808,0.113,0.345,0.019
middle,rnn,onehot,Nerve_Tibial,510,yes,0.686,0.066,0.353,0.003
large,mlp,onehot,Nerve_Tibial,510,yes,0.658,0.139,0.406,0.001
large,cnn,onehot,Nerve_Tibial,510,yes,0.647,0.169,0.419,0.0
large,rnn,onehot,Nerve_Tibial,510,yes,0.71,0.003,0.014,0.908
small,mlp,onehot,Nerve_Tibial,1030,yes,0.788,0.347,0.021,0.888
small,cnn,onehot,Nerve_Tibial,1030,yes,0.707,0.085,0.178,0.236
small,rnn,onehot,Nerve_Tibial,1030,yes,0.654,0.071,0.28,0.059
middle,mlp,onehot,Nerve_Tibial,1030,yes,0.682,0.009,0.061,0.686
middle,cnn,onehot,Nerve_Tibial,1030,yes,0.698,0.058,0.195,0.193
middle,rnn,onehot,Nerve_Tibial,1030,yes,0.644,0.294,0.555,8.929
large,mlp,onehot,Nerve_Tibial,1030,yes,0.681,0.21,0.482,3.12
large,cnn,onehot,Nerve_Tibial,1030,yes,0.654,0.271,0.54,2.043
large,rnn,onehot,Nerve_Tibial,1030,yes,0.764,0.006,0.259,0.033
