size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
large,lightgbm,dnabert2,Heart_Left_Ventricle,17,no,0.66,-0.254,0.137
large,random forest,dnabert2,Heart_Left_Ventricle,17,no,0.671,-0.299,-0.15
large,knn,dnabert2,Heart_Left_Ventricle,17,no,0.644,-0.194,-0.19
large,svm,dnabert2,Heart_Left_Ventricle,17,no,0.6,-0.04,0.255
small,xgboost,dnabert2,Heart_Left_Ventricle,510,no,0.715,-0.271,0.01
small,lightgbm,dnabert2,Heart_Left_Ventricle,510,no,0.732,0.333,-0.014
small,random forest,dnabert2,Heart_Left_Ventricle,510,no,0.664,-0.096,0.051
small,knn,dnabert2,Heart_Left_Ventricle,510,no,0.632,0.007,0.107
small,svm,dnabert2,Heart_Left_Ventricle,510,no,0.633,0.002,0.094
middle,xgboost,dnabert2,Heart_Left_Ventricle,510,no,0.798,-0.065,0.154
middle,lightgbm,dnabert2,Heart_Left_Ventricle,510,no,0.778,-0.014,0.2
middle,random forest,dnabert2,Heart_Left_Ventricle,510,no,0.765,0.021,0.194
middle,knn,dnabert2,Heart_Left_Ventricle,510,no,0.786,-0.336,0.061
middle,svm,dnabert2,Heart_Left_Ventricle,510,no,0.782,-0.024,0.015
large,xgboost,dnabert2,Heart_Left_Ventricle,510,no,0.761,-0.668,0.019
large,lightgbm,dnabert2,Heart_Left_Ventricle,510,no,0.697,-0.396,0.073
large,random forest,dnabert2,Heart_Left_Ventricle,510,no,0.652,-0.225,-0.037
large,knn,dnabert2,Heart_Left_Ventricle,510,no,0.644,-0.194,-0.191
large,svm,dnabert2,Heart_Left_Ventricle,510,no,0.613,-0.082,0.234
small,xgboost,dnabert2,Heart_Left_Ventricle,1030,no,0.657,-0.074,0.224
small,lightgbm,dnabert2,Heart_Left_Ventricle,1030,no,0.732,-0.333,-0.014
small,random forest,dnabert2,Heart_Left_Ventricle,1030,no,0.64,-0.021,0.107
small,knn,dnabert2,Heart_Left_Ventricle,1030,no,0.632,0.007,0.107
small,svm,dnabert2,Heart_Left_Ventricle,1030,no,0.642,-0.026,0.131
middle,xgboost,dnabert2,Heart_Left_Ventricle,1030,no,0.821,-0.127,0.076
middle,lightgbm,dnabert2,Heart_Left_Ventricle,1030,no,0.778,-0.014,0.2
middle,random forest,dnabert2,Heart_Left_Ventricle,1030,no,0.781,-0.02,0.086
middle,knn,dnabert2,Heart_Left_Ventricle,1030,no,0.784,-0.027,-0.012
middle,svm,dnabert2,Heart_Left_Ventricle,1030,no,0.782,-0.024,0.015
large,xgboost,dnabert2,Heart_Left_Ventricle,1030,no,0.775,-0.73,-0.22
large,lightgbm,dnabert2,Heart_Left_Ventricle,1030,no,0.678,-0.326,0.057
large,random forest,dnabert2,Heart_Left_Ventricle,1030,no,0.64,-0.181,0.051
large,knn,dnabert2,Heart_Left_Ventricle,1030,no,0.644,-0.194,-0.191
large,svm,dnabert2,Heart_Left_Ventricle,1030,no,0.613,-0.081,0.233
small,xgboost,dnabert2,Heart_Left_Ventricle,17,yes,0.974,-0.007,0.216
small,lightgbm,dnabert2,Heart_Left_Ventricle,17,yes,1.023,-0.089,-0.083
small,random forest,dnabert2,Heart_Left_Ventricle,17,yes,0.924,0.093,0.321
small,knn,dnabert2,Heart_Left_Ventricle,17,yes,0.975,-0.01,-0.232
small,svm,dnabert2,Heart_Left_Ventricle,17,yes,0.966,0.01,0.187
middle,xgboost,dnabert2,Heart_Left_Ventricle,17,yes,0.885,-0.26,-0.043
middle,lightgbm,dnabert2,Heart_Left_Ventricle,17,yes,0.879,-0.243,0.003
middle,random forest,dnabert2,Heart_Left_Ventricle,17,yes,0.798,-0.023,0.11
middle,knn,dnabert2,Heart_Left_Ventricle,17,yes,0.81,-0.054,-0.069
middle,svm,dnabert2,Heart_Left_Ventricle,17,yes,0.849,-0.161,-0.041
large,xgboost,dnabert2,Heart_Left_Ventricle,17,yes,0.711,0.253,0.523
large,lightgbm,dnabert2,Heart_Left_Ventricle,17,yes,0.747,0.177,0.45
large,random forest,dnabert2,Heart_Left_Ventricle,17,yes,0.75,0.171,0.426
large,knn,dnabert2,Heart_Left_Ventricle,17,yes,0.822,0.002,0.085
large,svm,dnabert2,Heart_Left_Ventricle,17,yes,0.731,0.211,0.459
small,xgboost,dnabert2,Heart_Left_Ventricle,510,yes,0.811,-0.485,-0.25
small,lightgbm,dnabert2,Heart_Left_Ventricle,510,yes,0.749,-0.268,-0.027
small,random forest,dnabert2,Heart_Left_Ventricle,510,yes,0.732,-0.21,-0.2
small,knn,dnabert2,Heart_Left_Ventricle,510,yes,0.67,-0.017,0.297
small,svm,dnabert2,Heart_Left_Ventricle,510,yes,0.672,-0.019,0.121
middle,xgboost,dnabert2,Heart_Left_Ventricle,510,yes,0.801,-0.181,0.252
middle,lightgbm,dnabert2,Heart_Left_Ventricle,510,yes,0.739,-0.006,0.329
middle,random forest,dnabert2,Heart_Left_Ventricle,510,yes,0.712,0.066,0.378
middle,knn,dnabert2,Heart_Left_Ventricle,510,yes,0.799,-0.175,0.177
middle,svm,dnabert2,Heart_Left_Ventricle,510,yes,0.67,0.173,0.464
large,xgboost,dnabert2,Heart_Left_Ventricle,510,yes,0.688,0.175,0.5
large,lightgbm,dnabert2,Heart_Left_Ventricle,510,yes,0.665,0.228,0.503
large,random forest,dnabert2,Heart_Left_Ventricle,510,yes,0.729,0.072,0.306
large,knn,dnabert2,Heart_Left_Ventricle,510,yes,0.766,-0.023,-0.112
large,svm,dnabert2,Heart_Left_Ventricle,510,yes,0.631,0.305,0.565
small,xgboost,dnabert2,Heart_Left_Ventricle,1030,yes,0.881,-0.308,0.071
small,lightgbm,dnabert2,Heart_Left_Ventricle,1030,yes,0.857,-0.326,0.15
small,random forest,dnabert2,Heart_Left_Ventricle,1030,yes,0.829,-0.16,0.207
small,knn,dnabert2,Heart_Left_Ventricle,1030,yes,0.86,-0.245,-0.165
small,svm,dnabert2,Heart_Left_Ventricle,1030,yes,0.814,-0.116,0.374
middle,xgboost,dnabert2,Heart_Left_Ventricle,1030,yes,0.775,0.038,0.327
middle,lightgbm,dnabert2,Heart_Left_Ventricle,1030,yes,0.799,-0.022,0.265
middle,random forest,dnabert2,Heart_Left_Ventricle,1030,yes,0.811,-0.053,0.098
middle,knn,dnabert2,Heart_Left_Ventricle,1030,yes,0.803,-0.032,-0.2
middle,svm,dnabert2,Heart_Left_Ventricle,1030,yes,0.754,0.09,0.318
large,xgboost,dnabert2,Heart_Left_Ventricle,1030,yes,0.582,0.464,0.692
large,lightgbm,dnabert2,Heart_Left_Ventricle,1030,yes,0.647,0.337,0.595
large,random forest,dnabert2,Heart_Left_Ventricle,1030,yes,0.643,0.345,0.611
large,knn,dnabert2,Heart_Left_Ventricle,1030,yes,0.792,0.008,0.179
large,svm,dnabert2,Heart_Left_Ventricle,1030,yes,0.627,0.377,0.621
small,xgboost,dnabert2,Nerve_Tibial,17,no,0.812,-0.317,-0.059
small,lightgbm,dnabert2,Nerve_Tibial,17,no,0.763,-0.162,-0.007
small,random forest,dnabert2,Nerve_Tibial,17,no,0.724,-0.045,0.079
small,knn,dnabert2,Nerve_Tibial,17,no,0.726,-0.051,-0.091
small,svm,dnabert2,Nerve_Tibial,17,no,0.714,-0.018,-0.004
middle,xgboost,dnabert2,Nerve_Tibial,17,no,0.78,0.044,0.265
middle,lightgbm,dnabert2,Nerve_Tibial,17,no,0.858,-0.156,-0.005
middle,random forest,dnabert2,Nerve_Tibial,17,no,0.822,-0.063,-0.003
middle,knn,dnabert2,Nerve_Tibial,17,no,0.805,-0.019,0.047
middle,svm,dnabert2,Nerve_Tibial,17,no,0.805,-0.018,-0.064
large,xgboost,dnabert2,Nerve_Tibial,17,no,0.765,-0.172,0.019
large,lightgbm,dnabert2,Nerve_Tibial,17,no,0.764,-0.17,-0.029
large,random forest,dnabert2,Nerve_Tibial,17,no,0.742,-0.104,-0.095
large,knn,dnabert2,Nerve_Tibial,17,no,0.715,-0.025,0.058
large,svm,dnabert2,Nerve_Tibial,17,no,0.721,-0.041,0.051
small,xgboost,dnabert2,Nerve_Tibial,510,no,0.799,-0.275,0.123
small,lightgbm,dnabert2,Nerve_Tibial,510,no,0.757,-0.144,0.03
small,random forest,dnabert2,Nerve_Tibial,510,no,0.707,0.001,0.183
small,knn,dnabert2,Nerve_Tibial,510,no,0.726,-0.051,-0.091
small,svm,dnabert2,Nerve_Tibial,510,no,0.742,-0.1,0.087
middle,xgboost,dnabert2,Nerve_Tibial,510,no,0.78,0.044,0.265
middle,lightgbm,dnabert2,Nerve_Tibial,510,no,0.857,-0.156,-0.014
middle,random forest,dnabert2,Nerve_Tibial,510,no,0.873,-0.198,-0.199
middle,knn,dnabert2,Nerve_Tibial,510,no,0.806,-0.02,0.044
middle,svm,dnabert2,Nerve_Tibial,510,no,0.805,-0.019,-0.064
large,xgboost,dnabert2,Nerve_Tibial,510,no,0.765,-0.173,0.024
large,lightgbm,dnabert2,Nerve_Tibial,510,no,0.796,-0.269,-0.144
large,random forest,dnabert2,Nerve_Tibial,510,no,0.74,-0.098,-0.085
large,knn,dnabert2,Nerve_Tibial,510,no,0.715,-0.025,0.058
large,svm,dnabert2,Nerve_Tibial,510,no,0.721,-0.041,0.051
small,xgboost,dnabert2,Nerve_Tibial,1030,no,0.882,-0.554,-0.097
small,lightgbm,dnabert2,Nerve_Tibial,1030,no,0.764,-0.165,0.008
small,random forest,dnabert2,Nerve_Tibial,1030,no,0.74,-0.092,0.004
small,knn,dnabert2,Nerve_Tibial,1030,no,0.715,-0.021,0.112
small,svm,dnabert2,Nerve_Tibial,1030,no,0.742,-0.1,0.087
middle,xgboost,dnabert2,Nerve_Tibial,1030,no,0.841,-0.111,-0.002
