size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
small,xgboost,enformer_pca,Nerve_Tibial,1030,no,0.785,-0.231,-0.034
small,lightgbm,enformer_pca,Nerve_Tibial,1030,no,,,
small,random forest,enformer_pca,Nerve_Tibial,1030,no,,,
small,knn,enformer_pca,Nerve_Tibial,1030,no,,,
small,svm,enformer_pca,Nerve_Tibial,1030,no,,,
middle,xgboost,enformer_pca,Nerve_Tibial,1030,no,,,
middle,lightgbm,enformer_pca,Nerve_Tibial,1030,no,,,
middle,random forest,enformer_pca,Nerve_Tibial,1030,no,,,
middle,knn,enformer_pca,Nerve_Tibial,1030,no,,,
middle,svm,enformer_pca,Nerve_Tibial,1030,no,,,
large,xgboost,enformer_pca,Nerve_Tibial,1030,no,,,
large,lightgbm,enformer_pca,Nerve_Tibial,1030,no,,,
large,random forest,enformer_pca,Nerve_Tibial,1030,no,,,
large,knn,enformer_pca,Nerve_Tibial,1030,no,,,
large,svm,enformer_pca,Nerve_Tibial,1030,no,,,
small,xgboost,enformer_pca,Nerve_Tibial,17,yes,,,
small,lightgbm,enformer_pca,Nerve_Tibial,17,yes,,,
small,random forest,enformer_pca,Nerve_Tibial,17,yes,,,
small,knn,enformer_pca,Nerve_Tibial,17,yes,,,
small,svm,enformer_pca,Nerve_Tibial,17,yes,,,
middle,xgboost,enformer_pca,Nerve_Tibial,17,yes,,,
middle,lightgbm,enformer_pca,Nerve_Tibial,17,yes,,,
middle,random forest,enformer_pca,Nerve_Tibial,17,yes,,,
middle,knn,enformer_pca,Nerve_Tibial,17,yes,,,
middle,svm,enformer_pca,Nerve_Tibial,17,yes,,,
large,xgboost,enformer_pca,Nerve_Tibial,17,yes,,,
large,lightgbm,enformer_pca,Nerve_Tibial,17,yes,,,
large,random forest,enformer_pca,Nerve_Tibial,17,yes,,,
large,knn,enformer_pca,Nerve_Tibial,17,yes,,,
large,svm,enformer_pca,Nerve_Tibial,17,yes,,,
small,xgboost,enformer_pca,Nerve_Tibial,510,yes,,,
small,lightgbm,enformer_pca,Nerve_Tibial,510,yes,,,
small,random forest,enformer_pca,Nerve_Tibial,510,yes,,,
small,knn,enformer_pca,Nerve_Tibial,510,yes,,,
small,svm,enformer_pca,Nerve_Tibial,510,yes,,,
middle,xgboost,enformer_pca,Nerve_Tibial,510,yes,,,
middle,lightgbm,enformer_pca,Nerve_Tibial,510,yes,,,
middle,random forest,enformer_pca,Nerve_Tibial,510,yes,,,
middle,knn,enformer_pca,Nerve_Tibial,510,yes,,,
middle,svm,enformer_pca,Nerve_Tibial,510,yes,,,
large,xgboost,enformer_pca,Nerve_Tibial,510,yes,,,
large,lightgbm,enformer_pca,Nerve_Tibial,510,yes,,,
large,random forest,enformer_pca,Nerve_Tibial,510,yes,,,
large,knn,enformer_pca,Nerve_Tibial,510,yes,,,
large,svm,enformer_pca,Nerve_Tibial,510,yes,,,
small,xgboost,enformer_pca,Nerve_Tibial,1030,yes,,,
small,lightgbm,enformer_pca,Nerve_Tibial,1030,yes,,,
small,random forest,enformer_pca,Nerve_Tibial,1030,yes,,,
small,knn,enformer_pca,Nerve_Tibial,1030,yes,,,
small,svm,enformer_pca,Nerve_Tibial,1030,yes,,,
middle,xgboost,enformer_pca,Nerve_Tibial,1030,yes,,,
middle,lightgbm,enformer_pca,Nerve_Tibial,1030,yes,,,
middle,random forest,enformer_pca,Nerve_Tibial,1030,yes,,,
middle,knn,enformer_pca,Nerve_Tibial,1030,yes,,,
middle,svm,enformer_pca,Nerve_Tibial,1030,yes,,,
large,xgboost,enformer_pca,Nerve_Tibial,1030,yes,,,
large,lightgbm,enformer_pca,Nerve_Tibial,1030,yes,,,
large,random forest,enformer_pca,Nerve_Tibial,1030,yes,,,
large,knn,enformer_pca,Nerve_Tibial,1030,yes,,,
large,svm,enformer_pca,Nerve_Tibial,1030,yes,,,
