size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
middle,cnn,dnabert2,Esophagus_Mucosa,1030,yes,0.615,0.609,0.933,0.737
middle,rnn,dnabert2,Esophagus_Mucosa,1030,yes,0.577,0.577,1.0,0.732
large,mlp,dnabert2,Esophagus_Mucosa,1030,yes,0.568,0.607,0.723,0.66
large,cnn,dnabert2,Esophagus_Mucosa,1030,yes,0.543,0.604,0.617,0.611
large,rnn,dnabert2,Esophagus_Mucosa,1030,yes,0.568,0.591,0.83,0.69
small,mlp,dnabert2,Heart_Left_Ventricle,17,yes,0.52,0.542,0.929,0.684
small,cnn,dnabert2,Heart_Left_Ventricle,17,yes,0.56,0.56,1.0,0.718
small,rnn,dnabert2,Heart_Left_Ventricle,17,yes,0.48,0.522,0.857,0.649
middle,mlp,dnabert2,Heart_Left_Ventricle,17,yes,0.346,0.0,0.0,0.0
middle,cnn,dnabert2,Heart_Left_Ventricle,17,yes,0.5,0.591,0.765,0.667
middle,rnn,dnabert2,Heart_Left_Ventricle,17,yes,0.731,0.778,0.824,0.8
large,mlp,dnabert2,Heart_Left_Ventricle,17,yes,0.455,0.455,1.0,0.625
large,cnn,dnabert2,Heart_Left_Ventricle,17,yes,0.455,0.455,1.0,0.625
large,rnn,dnabert2,Heart_Left_Ventricle,17,yes,0.455,0.455,1.0,0.625
small,mlp,dnabert2,Heart_Left_Ventricle,510,yes,0.6,0.6,1.0,0.75
small,cnn,dnabert2,Heart_Left_Ventricle,510,yes,0.64,0.667,0.8,0.727
small,rnn,dnabert2,Heart_Left_Ventricle,510,yes,0.52,0.579,0.733,0.647
middle,mlp,dnabert2,Heart_Left_Ventricle,510,yes,0.462,0.467,0.538,0.5
middle,cnn,dnabert2,Heart_Left_Ventricle,510,yes,0.423,0.458,0.846,0.595
middle,rnn,dnabert2,Heart_Left_Ventricle,510,yes,0.385,0.421,0.615,0.5
large,mlp,dnabert2,Heart_Left_Ventricle,510,yes,0.614,0.614,1.0,0.761
large,cnn,dnabert2,Heart_Left_Ventricle,510,yes,0.614,0.614,1.0,0.761
large,rnn,dnabert2,Heart_Left_Ventricle,510,yes,0.614,0.614,1.0,0.761
small,mlp,dnabert2,Heart_Left_Ventricle,1030,yes,0.8,0.8,1.0,0.889
small,cnn,dnabert2,Heart_Left_Ventricle,1030,yes,0.4,0.778,0.35,0.483
small,rnn,dnabert2,Heart_Left_Ventricle,1030,yes,0.32,0.714,0.25,0.37
middle,mlp,dnabert2,Heart_Left_Ventricle,1030,yes,0.5,0.5,1.0,0.667
middle,cnn,dnabert2,Heart_Left_Ventricle,1030,yes,0.462,0.455,0.385,0.417
middle,rnn,dnabert2,Heart_Left_Ventricle,1030,yes,0.385,0.4,0.462,0.429
large,mlp,dnabert2,Heart_Left_Ventricle,1030,yes,0.568,0.568,1.0,0.725
large,cnn,dnabert2,Heart_Left_Ventricle,1030,yes,0.568,0.568,1.0,0.725
large,rnn,dnabert2,Heart_Left_Ventricle,1030,yes,0.5,0.667,0.24,0.353
small,mlp,dnabert2,Nerve_Tibial,17,yes,0.5,0.542,0.52,0.531
small,cnn,dnabert2,Nerve_Tibial,17,yes,0.543,0.543,1.0,0.704
small,rnn,dnabert2,Nerve_Tibial,17,yes,0.522,0.533,0.96,0.686
middle,mlp,dnabert2,Nerve_Tibial,17,yes,0.574,0.667,0.067,0.121
middle,cnn,dnabert2,Nerve_Tibial,17,yes,0.441,0.441,1.0,0.612
middle,rnn,dnabert2,Nerve_Tibial,17,yes,0.603,0.714,0.167,0.27
large,mlp,dnabert2,Nerve_Tibial,17,yes,0.478,0.455,0.175,0.253
large,cnn,dnabert2,Nerve_Tibial,17,yes,0.496,0.5,0.298,0.374
large,rnn,dnabert2,Nerve_Tibial,17,yes,0.531,0.556,0.351,0.43
small,mlp,dnabert2,Nerve_Tibial,510,yes,0.565,0.568,0.84,0.677
small,cnn,dnabert2,Nerve_Tibial,510,yes,0.543,0.543,1.0,0.704
small,rnn,dnabert2,Nerve_Tibial,510,yes,0.587,0.575,0.92,0.708
middle,mlp,dnabert2,Nerve_Tibial,510,yes,0.485,0.485,1.0,0.653
middle,cnn,dnabert2,Nerve_Tibial,510,yes,0.574,1.0,0.121,0.216
middle,rnn,dnabert2,Nerve_Tibial,510,yes,0.515,0.5,0.273,0.353
large,mlp,dnabert2,Nerve_Tibial,510,yes,0.54,0.533,0.828,0.649
large,cnn,dnabert2,Nerve_Tibial,510,yes,0.513,0.513,1.0,0.678
large,rnn,dnabert2,Nerve_Tibial,510,yes,0.513,0.513,1.0,0.678
small,mlp,dnabert2,Nerve_Tibial,1030,yes,0.457,0.467,0.292,0.359
small,cnn,dnabert2,Nerve_Tibial,1030,yes,0.522,0.522,1.0,0.686
small,rnn,dnabert2,Nerve_Tibial,1030,yes,0.543,0.538,0.875,0.667
middle,mlp,dnabert2,Nerve_Tibial,1030,yes,0.426,0.091,0.033,0.049
middle,cnn,dnabert2,Nerve_Tibial,1030,yes,0.368,0.276,0.267,0.271
middle,rnn,dnabert2,Nerve_Tibial,1030,yes,0.5,0.467,0.933,0.622
large,mlp,dnabert2,Nerve_Tibial,1030,yes,0.469,0.518,0.468,0.492
large,cnn,dnabert2,Nerve_Tibial,1030,yes,0.549,0.549,1.0,0.709
large,rnn,dnabert2,Nerve_Tibial,1030,yes,0.575,0.567,0.952,0.711
